Порядковый индекс,ID_маршрута,Номер_маршрута,ID_остановки,Координаты
71,1108,10,16405,"59.923092942041734,30.4842415"
72,1108,10,16408,"59.921959899228852,30.4794846"
73,1108,10,16408,"59.921959899228852,30.4794846"
74,1108,10,16410,"59.919484870560836,30.4688702"
75,1108,10,16410,"59.919484870560836,30.4688702"
76,1108,10,16413,"59.916698102851868,30.4572315"
77,1108,10,16413,"59.916698102851868,30.4572315"
78,1108,10,30720,"59.915434736723526,30.45191"
79,1108,10,30720,"59.915434736723526,30.45191"
80,1108,10,27185,"59.914363063261519,30.4472427"
81,1108,10,27185,"59.914363063261519,30.4472427"
82,1108,10,16415,"59.912633932492469,30.4398994"
83,1108,10,16415,"59.912633932492469,30.4398994"
84,1108,10,32611,"59.91404806000935,30.4353981"
85,1108,10,32611,"59.91404806000935,30.4353981"
86,1108,10,32612,"59.91617769769654,30.4304638"
87,1108,10,32612,"59.91617769769654,30.4304638"
88,1108,10,16235,"59.918314045800692,30.4254494"
89,1108,10,16235,"59.918314045800692,30.4254494"
90,1108,10,32391,"59.920426293259368,30.422308"
91,1108,10,32391,"59.920426293259368,30.422308"
92,1108,10,15989,"59.92223032685925,30.4197674"
93,1108,10,15989,"59.92223032685925,30.4197674"
94,1108,10,15992,"59.924674344969475,30.4166012"
95,1108,10,15992,"59.924674344969475,30.4166012"
96,1108,10,16002,"59.928257894748675,30.4125271"
97,1108,10,16002,"59.928257894748675,30.4125271"
98,1108,10,16063,"59.929945143753706,30.4112988"
99,1108,10,16063,"59.929945143753706,30.4112988"
100,1108,10,16068,"59.933350182105642,30.4076672"
101,1108,10,16068,"59.933350182105642,30.4076672"
102,1108,10,16075,"59.936635113945094,30.4080811"
103,1108,10,16075,"59.936635113945094,30.4080811"
104,1108,10,16082,"59.941356633487153,30.4086609"
105,1108,10,16082,"59.941356633487153,30.4086609"
106,1108,10,16089,"59.944240535328433,30.4129543"
107,1108,10,16089,"59.944240535328433,30.4129543"
108,1108,10,16094,"59.946853961602478,30.4142628"
109,1108,10,16094,"59.946853961602478,30.4142628"
110,1108,10,16237,"59.95285653631872,30.415041"
111,1108,10,16237,"59.95285653631872,30.415041"
112,1108,10,16100,"59.953376366284921,30.4165573"
113,1108,10,16100,"59.953376366284921,30.4165573"
114,1108,10,24319,"59.953342167195615,30.4214096"
115,1108,10,24319,"59.953342167195615,30.4214096"
116,1108,10,16114,"59.953178011075622,30.430563"
117,1108,10,16114,"59.953178011075622,30.430563"
118,1108,10,16121,"59.953089092837807,30.4357643"
119,1108,10,16121,"59.953089092837807,30.4357643"
120,1108,10,16128,"59.953013854142554,30.4406128"
121,1108,10,16128,"59.953013854142554,30.4406128"
122,1108,10,16134,"59.952948875131931,30.4491615"
123,1108,10,16134,"59.952948875131931,30.4491615"
124,1108,10,16185,"59.954453619534696,30.4614925"
125,1108,10,16185,"59.954453619534696,30.4614925"
126,1108,10,16188,"59.953037793745928,30.4486256"
127,1108,10,16188,"59.953037793745928,30.4486256"
128,1108,10,16192,"59.953140391850276,30.437809"
129,1108,10,16192,"59.953140391850276,30.437809"
130,1108,10,16198,"59.953246409557764,30.4313679"
131,1108,10,16198,"59.953246409557764,30.4313679"
132,1108,10,24320,"59.953393465816362,30.4225407"
133,1108,10,24320,"59.953393465816362,30.4225407"
134,1108,10,16205,"59.953509742396093,30.4154415"
135,1108,10,16205,"59.953509742396093,30.4154415"
136,1108,10,16210,"59.947756982473493,30.4142551"
137,1108,10,16210,"59.947756982473493,30.4142551"
138,1108,10,16213,"59.943987391473257,30.4126205"
139,1108,10,16213,"59.943987391473257,30.4126205"
140,1108,10,16217,"59.94041238335867,30.4084663"
141,1108,10,16217,"59.94041238335867,30.4084663"
142,1108,10,16222,"59.936922530001603,30.408041"
143,1108,10,16222,"59.936922530001603,30.408041"
144,1108,10,16227,"59.933962709698292,30.4070625"
145,1108,10,16227,"59.933962709698292,30.4070625"
146,1108,10,16233,"59.929572108259286,30.4113426"
147,1108,10,16233,"59.929572108259286,30.4113426"
148,1108,10,15972,"59.928049121664529,30.4125481"
149,1108,10,15972,"59.928049121664529,30.4125481"
150,1108,10,15977,"59.925002938717661,30.4158707"
151,1108,10,15977,"59.925002938717661,30.4158707"
152,1108,10,15981,"59.922733521774219,30.4189243"
153,1108,10,15981,"59.922733521774219,30.4189243"
154,1108,10,32392,"59.92036125036811,30.4222031"
155,1108,10,32392,"59.92036125036811,30.4222031"
