,№,Официальное наименование,Координаты,Район,Количество маршрутов
153,3447,Ул. Коллонтай,"59.912048404432532,30.4398918",Красногвардейский,4
154,3450,Зольная ул,"59.918314045800692,30.4254494",Красногвардейский,4
155,3451,"Ст. метро ""Рыбацкое""","59.832011408266773,30.5026379",Невский,2
156,3452,Большая Пороховская ул,"59.95285653631872,30.415041",Красногвардейский,2
157,3453,Шлиссельбургский пр,"59.835622121625015,30.5081291",Невский,2
158,3456,Шоссе Революции,"59.958987958807207,30.4156361",Красногвардейский,1
159,3457,Большой Сампсониевский пр,"59.994673350266666,30.3304119",Выборгский,2
160,3458,Ул. Дмитрия Устинова,"59.838257832449116,30.5013847",Невский,2
161,3460,"Универсам T (24, 27)","59.839929067027676,30.4955616",Невский,2
162,3463,"Шлиссельбургский пр., 1","59.841583060541019,30.4898205",Невский,2
163,3465,Пискарёвский пр,"59.962906277099442,30.4095497",Калининский,1
164,3466,Смоляная ул,"59.911812135799721,30.4075203",Красногвардейский,3
165,3467,Рыбацкий пр,"59.847035166752093,30.4829845",Невский,2
166,3468,Ул. Асафьева,"60.046973306195198,30.330616",Выборгский,3
167,3469,Лиговский пр,"59.907463122966469,30.3464527",Центральный,3
168,3472,Прогонная ул,"59.850678556141489,30.4801731",Невский,2
169,3473,Феодосийская ул,"59.963579798228061,30.3987541",Калининский,1
170,3474,Запорожская ул,"59.855017854480643,30.4781075",Невский,2
171,3475,"Ул. Жукова, 13, по требованию","59.965319949323295,30.3926525",Калининский,1
172,3477,Ул. Бабушкина,"59.858650080974066,30.4762707",Невский,2
173,3478,Кондратьевский пр,"59.967678750837571,30.3846226",Калининский,1
174,3479,"Ст. метро ""Проспект Просвещения""","60.052286039431927,30.3345547",Выборгский,2
175,3480,"Конечная станция ""Ст. метро ""Купчино""","59.831218509091379,30.3781509",Фрунзенский,4
176,3482,Ул. Ватутина,"59.964126810387768,30.3806858",Калининский,1
177,3483,Ул. Грибакиных,"59.860203688499837,30.4712906",Невский,2
178,3485,"Завод ""Красный Выборжец""","59.960765961709349,30.3770523",Калининский,1
179,3486,Малая Балканская ул,"59.83110523623963,30.384861",Невский,4
180,3487,Пр. Елизарова,"59.898821622252477,30.4301014",Невский,2
181,3488,Трамвайный парк № 7,"59.862525390558623,30.4724445",Невский,2
182,3489,Ул. Шостаковича,"60.056261505109184,30.3375072",Выборгский,3
183,3490,Арсенальная ул,"59.957336382178873,30.3730259",Калининский,1
184,3491,Кузнечный пер,"59.926351508141316,30.3582001",Невский,3
185,3492,"Ст. метро ""Пролетарская""","59.864980662808378,30.469429",Невский,3
186,3493,Ул. Михайлова,"59.954477558098105,30.3616295",Калининский,1
187,3494,Купчинская ул,"59.832910690978423,30.3919106",Фрунзенский,4
188,3497,"Конечная станция ""Придорожная аллея""","60.059247903622776,30.3436794",Выборгский,3
189,3498,Ул. Шелгунова,"59.868310079062724,30.4638863",Невский,3
190,3501,Администрация Невского района,"59.878282617536122,30.449688",Невский,3
191,3503,Дунайский пр,"59.83653160271065,30.3891201",Невский,2
192,3504,Свечной пер,"59.924746225129965,30.3511581",Невский,3
193,3509,Пловдивская ул,"59.841064909586407,30.38451",Невский,2
194,3514,"Ул. Димитрова. Киноцентр ""Чайка""","59.846012750421039,30.3794994",Невский,2
195,3521,Будапештская ул,"59.848143320797156,30.3864117",Невский,2
196,3522,Ул. Жукова,"59.967145471277206,30.3859959",Калининский,1
197,3524,Бухарестская ул,"59.851422966104707,30.399189",Фрунзенский,2
198,3527,"Ст. метро ""Проспект Славы""","59.855035004734781,30.3965759",Фрунзенский,4
199,3529,Звенигородская ул,"59.919916216639415,30.3399849",Центральный,1
200,3532,Пр. Славы,"59.859795573460914,30.3917542",Фрунзенский,4
201,3533,Рабфаковская ул,"59.858873009249685,30.4760113",Невский,2
202,3538,Универсам,"59.862443087790744,30.3891315",Фрунзенский,4
203,3544,Школа искусств,"59.864702910654167,30.3868504",Фрунзенский,4
204,3548,Ул. Турку,"59.868135215853499,30.3832607",Фрунзенский,4
205,3552,Измайловский пр,"59.916033900096423,30.3080502",Центральный,1
206,3554,"Ст. метро ""Международная""","59.870932916868426,30.3805008",Невский,4
207,3556,Новосибирская ул,"59.988948234239146,30.3102207",Выборгский,3
208,3559,"Дальневосточный пр., 11","59.911818984189559,30.4402103",Красногвардейский,4
209,3560,"Бухарестская ул., 72","59.87476565939442,30.3765316",Невский,4
210,3563,Садовая ул,"59.919447213097421,30.2953892",Адмиралтейский,1
211,3566,Университет профсоюзов,"59.878412868099964,30.3729191",Невский,4
212,3569,Прибрежная ул,"59.83627420492369,30.5071602",Невский,2
213,3571,"Ст. метро ""Бухарестская""","59.883622472179468,30.36763",Невский,4
214,3573,Наб. р. Фонтанки,"59.91708840136377,30.28302",Адмиралтейский,3
215,3575,Университет кино и телевидения,"59.887741594120854,30.3633804",Невский,2
216,3577,"Бухарестская ул., 6","59.890623305153298,30.3604717",Невский,2
217,3578,Пр. Солидарности,"59.911856650308394,30.4998817",Красногвардейский,5
218,3580,"Ст. метро ""Волковская""","59.897341758120533,30.3541164",Невский,2
219,3581,Ж.-д. станция Ржевка,"59.980505638771355,30.5090218",Невский,1
220,3584,Церковь Святого Иова,"59.901274214833073,30.3530293",Невский,2
221,3585,Ковалёвская ул,"59.9771601216748,30.5058994",Невский,1
222,3588,Лесопарковая ул,"59.969340066737495,30.5034809",Невский,1
223,3590,Лесопарк,"59.963795185344004,30.4957123",Невский,1
224,3592,"Ст. метро ""Проспект Большевиков""","59.919454059912134,30.469429",Красногвардейский,4
225,3603,"Конечная станция ""Посёлок Стрельна""","59.851248014107917,30.0620499",Красносельский,1
226,3604,Ул. Подвойского,"59.917954573771091,30.4955139",Красногвардейский,4
227,3606,"Конечная станция ""Река Оккервиль""","59.908880895247805,30.4946709",Невский,4
228,3613,"Конечная станция ""Тихорецкий пр.""","60.011962241342836,30.3675022",Калининский,2
229,3614,"Конечная станция ""Пр. Мечникова"" (посадки и высадки нет)","59.983451054247247,30.4273796",Красногвардейский,3
230,3616,2-й Муринский пр,"59.998730887536858,30.3610172",Калининский,3
231,3619,Кикенка,"59.849395524772959,30.0668716",Красносельский,1
232,3621,Болотная ул,"59.999827156910271,30.3533401",Калининский,3
233,3624,Институтский пр,"60.000547737862675,30.3482895",Выборгский,3
234,3627,Ул. Орбели,"60.001613212686088,30.3408451",Выборгский,3
235,3628,"Петергофское шоссе, спортивный комплекс ""Атлантика""","59.853117551569554,30.1011696",Красносельский,1
236,3630,Светлановская пл,"60.003214775335969,30.3299923",Выборгский,3
237,3631,Каменный остров,"59.980338200089143,30.299139",Приморский,1
238,3633,Железнодорожный переезд,"59.849004430508508,30.1243114",Красносельский,2
239,3634,Вяземский пер,"59.975201863408984,30.2990742",Приморский,1
240,3636,Ул. Профессора Попова,"59.97156527907709,30.3017788",Выборгский,1
241,3637,Рижский пр,"59.913763869727752,30.2776966",Адмиралтейский,2
242,3638,Ул. Пограничника Гарькавого,"59.847093491569034,30.1461124",Красносельский,2
243,3639,Ул. Димитрова,"59.852023284591041,30.3994198",Фрунзенский,4
244,3640,Пр. Мечникова,"59.984219826061931,30.4267521",Красногвардейский,3
245,3641,Наб. Обводного канала,"59.910110267129348,30.2756977",Центральный,2
246,3642,Чкаловский пр,"59.969391340593972,30.3030472",Петроградский,1
247,3644,Лифляндская ул,"59.909014450386053,30.2654877",Кировский,1
248,3645,Пр. Непокорённых,"59.991469320269978,30.4339199",Калининский,3
249,3646,"Петергофское шоссе, 43","59.846822451847721,30.1569118",Красносельский,2
250,3647,Каменноостровский пр,"59.969333230217281,30.3068848",Петроградский,1
251,3648,"Купчинская ул. Киноцентр ""Чайка""","59.846520531584837,30.3796444",Фрунзенский,2
252,3649,"Лифляндская ул., 3","59.90713435552972,30.2626705",Кировский,1
253,3650,Большой пр. П.С,"59.967801814132223,30.3135777",Петроградский,1
254,3651,Южно-Приморский парк,"59.846541117144305,30.1712341",Красносельский,2
255,3653,Парк Екатерингоф,"59.902397688378763,30.2591667",Кировский,1
256,3654,Ул. Льва Толстого,"59.965887444452214,30.3144398",Петроградский,1
257,3655,Аллея Славы,"59.846397017960655,30.1786385",Красносельский,2
258,3656,Промышленная ул,"59.897663771206084,30.2537079",Кировский,1
259,3657,1-й Медицинский институт,"59.965265250483924,30.3188591",Петроградский,1
260,3659,"Ст. метро ""Звёздная""","59.833154385546663,30.3486519",Московский,1
261,3660,Ул. Ярослава Гашека,"59.833398078331648,30.3920918",Невский,2
262,3661,"Петергофское шоссе, 15","59.846191160901846,30.1874428",Красносельский,2
263,3662,Большая Монетная ул,"59.963668688318634,30.3271065",Петроградский,1
264,3663,Ул. Верности,"59.997760949140869,30.4383869",Калининский,3
265,3664,Ул. Трефолева,"59.894042657017494,30.2511196",Кировский,1
266,3665,"Ул. Ленсовета, 87","59.835879524452579,30.3435535",Невский,1
267,3666,Оборонная ул,"59.892404975287079,30.2552223",Кировский,1
268,3667,Ул. Десантников,"59.846040198249554,30.1962433",Красносельский,1
269,3670,"Конечная станция ""Ленинградский электромеханический завод""","59.854239223631744,30.119833",Красносельский,1
270,3671,"Пр. Юрия Гагарина, театр ""Алеко""","59.838975066599218,30.3378658",Невский,1
271,3672,"Петергофское шоссе, 5","59.845896096897299,30.2040424",Красносельский,1
272,3673,Тихорецкий пр,"60.016580871195202,30.3684387",Калининский,3
273,3674,Ул. Орджоникидзе,"59.843933511614374,30.3304291",Невский,1
274,3676,Ул. Куйбышева,"59.95785614187858,30.3330727",Центральный,1
275,3677,"Тихорецкий пр., 6","60.011931516589286,30.3687286",Калининский,3
276,3678,Ул. Калинина,"59.894282478109254,30.2507343",Кировский,1
277,3679,Алтайская ул,"59.849203408866487,30.3301315",Невский,1
278,3680,Большой пр. В.О,"59.933473372921256,30.2626801",Василеостровский,1
279,3681,Пр. Маршала Жукова,"59.845724546855017,30.2108192",Красносельский,1
280,3683,"Ст. метро ""Политехническая""","60.008753057287279,30.3694801",Калининский,4
281,3684,26-27-я линии В.О,"59.929767182389718,30.2591381",Василеостровский,1
282,3686,"Пр. Стачек, 111","59.846963118307698,30.2208996",Красносельский,2
283,3688,Балтийский завод,"59.927895107891501,30.2573624",Василеостровский,1
284,3689,Авиационная ул,"59.854842921383472,30.3298111",Московский,1
285,3690,Детская ул,"59.926515797117375,30.2549343",Василеостровский,1
286,3691,Московский пр,"59.854997274163999,30.3219757",Московский,3
287,3692,"Ст. метро ""Площадь Мужества""","60.000677509067636,30.3656006",Калининский,4
288,3693,Ул. Лёни Голикова,"59.848215366686816,30.2265816",Красносельский,2
289,3694,Ул. Гастелло,"59.858022444113388,30.3211803",Московский,3
290,3695,Кронштадтская пл,"59.850819206304415,30.2343082",Красносельский,2
291,3697,Пл. Братьев Стругацких,"59.861472585628036,30.3209991",Московский,3
292,3699,"Старо-Петергофский пр., 12","59.910254090391824,30.275938",Центральный,2
293,3700,Соломахинский проезд,"59.854397009328665,30.2434082",Красносельский,2
294,3704,Трамвайный пр,"59.858708385436564,30.253067",Невский,2
295,3705,Новороссийская ул,"59.994283964461928,30.359972",Калининский,5
296,3707,"Ст. метро ""Парк Победы""","59.86599563860976,30.3207092",Московский,3
297,3710,Кузнецовская ул,"59.871474601385117,30.3204193",Московский,3
298,3712,Ж.-д. станция Кушелевка,"59.991213121107421,30.3523407",Калининский,5
299,3713,Трамвайный парк № 3,"59.960482171491421,30.3311119",Выборгский,1
300,3714,Благодатная ул. Университет МЧС,"59.875533526058177,30.3201809",Московский,3
301,3715,"Ст. метро ""Автово""","59.869036951567821,30.2569866",Кировский,1
302,3716,Витебский пр,"59.877792459524557,30.3471222",Московский,2
303,3717,Пр. Юрия Гагарина,"59.876174544020827,30.3345203",Московский,2
