,№,Официальное наименование,Координаты,Район,Количество маршрутов
384,3929,"Ул. Лётчика Пилютова, 50","59.827023724058193,30.1399117",Красносельский,1
385,3931,"Конечная станция ""Ж.-д. платформа Сосновая Поляна""","59.825533796021141,30.1455631",Красносельский,1
386,3932,"Суздальский пр., 5","60.066825188275132,30.3090096",Выборгский,1
387,3933,"Ул. Пограничника Гарькавого, 40","59.830847796507449,30.14715",Красносельский,1
388,3934,"Конечная станция ""Ул. Жени Егоровой""","60.064712040496964,30.3172913",Выборгский,1
389,4055,Лесной пр,"59.988473374048212,30.3405304",Выборгский,2
390,4057,"Конечная станция ""Ст. метро ""Рыбацкое"" (посадки и высадки нет)","59.833782491494048,30.4991379",Невский,2
391,4058,"Конечная станция ""Трамвайный парк № 1"" (посадки и высадки нет)","59.898407129918404,30.3183594",Московский,2
392,4066,"Конечная станция ""Ул. Шаврова"" (посадки и высадки нет)","60.024475083399025,30.23386",Приморский,2
393,4068,"Удельный парк (оборотная, посадки/высадки нет)","60.000725319383236,30.3113899",Выборгский,1
394,4070,"Невский завод (оборотная, посадки/высадки нет)","59.905445946470749,30.4182777",Невский,1
395,4071,"Конечная станция ""Хасанская ул."" (посадки и высадки нет)","59.935502533571352,30.4838066",Красногвардейский,1
396,4074,"Студенческая ул., ж.-д. станция Ланская","59.993419784858546,30.3255997",Выборгский,3
397,4078,"Пр. Луначарского (оборотная, посадки/высадки нет)","60.020802956359297,30.4332409",Выборгский,1
398,4080,"Конечная станция ""Малая Балканская ул."" (посадки и высадки нет)","59.82746313711344,30.4218884",Невский,2
399,4082,"Конечная станция ""Ж.-д. станция Ручьи""","60.00485040639915,30.4383869",Фрунзенский,1
400,4084,"Конечная станция ""Ж.-д. станция Ржевка"" (посадки и высадки нет)","59.980163926275608,30.5104218",Невский,1
401,4089,"Ж.-д. станция Кушелевка (оборотная, посадки/высадки нет)","59.990970584072507,30.3535004",Калининский,2
402,4090,"Ст. метро ""Московские ворота"" (оборотная, посадки/высадки нет)","59.892141157082051,30.3194008",Московский,1
403,4091,"Конечная станция ""Детская ул."" (посадки и высадки нет)","59.926252249824074,30.2536411",Василеостровский,1
404,4092,"Конечная станция ""Пр. Юрия Гагарина"" (посадки и высадки нет)","59.856204631207788,30.3363609",Московский,2
