"Название поля, рус.","Название поля, англ.",Описание,Тип,Размерность,Обязательность,Первичный ключ,Естественный ключ,Главное адресное поле,Дата календарного события,Связанный набор,Таблица в связанном наборе
№,number,Порядковый номер,Целое число,,Да,Да,False,False,False,,
Вид транспортного средства,type_of_vehicle,Вид транспортного средства,Текст,100,False,False,False,False,False,,
Тип объекта,object_type,Тип объекта,Текст,100,False,False,False,False,False,,
Наименование остановки,name_stopping,Наименование остановки,Текст,200,Да,False,Да,False,False,,
Официальное наименование,the_official_name,Официальное наименование,Текст,200,False,False,False,False,False,,
Расположение,location,Расположение,Текст,500,False,False,False,False,False,,
Маршруты,routes,Маршруты,Текст,500,False,False,False,False,False,,
Координаты,coordinates,Координаты (широта и долгота),Текст,500,Да,False,False,False,False,,
